SL,title,company,location,salary,summary
488,Staff Software Engineer - Connected Experiences,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a Staff Software Engineer, you'll be fulfilling the role of Tech Lead on Connected Experiences.
You will work with your Product Partner, External Developers,…"
489,"Software Engineer, Full Stack","TuSimple, Inc.","Los Angeles, CA",,"Relocation to San Diego is required.
Your work will greatly improve the efficiency of the research of our algorithm scientists, and expedite the development of…"
490,Sr. Software Engineer (Python),Tech Holding,"Los Angeles, CA 90017",,"Responsible for performance engineering of the enterprise software architecture, and providing functional guidance, advice, and/or training to other application…"
491,Software Engineer - Payments,Hired Recruiters,"Los Angeles, CA",,"The ideal candidate brings deep and broad software development expertise in web and server development, as well as specialized experience in payment…"
492,Software Engineer II: Live Operations Engineering,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"Create and operate tools and services that help achieve operational excellence.
Partner with product owners to create the best possible experience for feature…"
493,DevOps Engineer – FOX Bet,FanDuel,"Los Angeles, CA",,"FanDuel Group is based in New York, with offices in California, New Jersey, Florida, Oregon and Scotland.
As a DevOps Engineer working on our FOX Bet Free-To…"
494,"Software Engineer, Onboard Runtime/System Performance","TuSimple, Inc.","Los Angeles, CA",,Developing highly efficient and versatile messaging frameworks to enable low latency communication between autonomous driving function components;
495,PROJECT ENGINEER,The Aerospace Corporation,"El Segundo, CA 90245",,The Strategic Assessments & Studies (SAS) Division of the Civil Systems Group (CSG) is responsible for conducting independent assessments and strategic studies…
496,AS Unix DevOps Engineer,Astor & Sanders Corp,"Pasadena, CA 91106",,"Bash, python, and ruby scripting skills.
Develop new python code to deposit and extract test platform results into a postgreSQL database."
497,"Senior Validation Engineer, Electrical",Bird Rides Inc.,"Santa Monica, CA",,"And we’re only just getting started.
As a validation engineer, you’ll work with design engineering, quality, and service to participate in design reviews,…"
498,Software Engineering Manager,Beyond Limits,"Glendale, CA",,"The ideal candidate will have a record of progressive technical experience, a demonstrated progression of management scope, sharp coding skills, and a passion…"
499,Puppet / Linux Engineer,The Aerospace Corporation,"El Segundo, CA 90245",,"The ideal candidate is familiar with the design , implementation and best practices for managing a large number of enterprise Linux systems using Puppet /SIMP…"
500,Avionics Systems Engineer (Operations & Automation),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"As an Operations Systems Engineer in Satellite Avionics, you will have a unique opportunity to characterize and develop the systems required to fly a new…"
501,DevOps Engineer,TeleSign,"Los Angeles, CA",,We are looking to hire a DevOps Engineer who will support the Linux infrastructure within TeleSign Operations as we build a highly virtualized and distributed…
502,Test Automation Engineer (Starlink),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Develop modular, reusable test and automation code in python and similar languages for manufacturing and engineering design verification."
503,Senior Software Engineer (Test Infrastructure),SpaceX,"Hawthorne, CA 90250 (North Hawthorne area)",,"Software Delivery Engineering develops the infrastructure which allows engineers across the company to develop, test, and ship highly robust software to the…"
504,Site Reliability Engineer,CCC Information Services Inc.,"Cerritos, CA",,"In this position, you will work alongside DevOps, software developers, database administrators, network engineers, systems engineers and information security,…"
505,Vehicle Software & Systems Test Engineer,Canoo,"Torrance, CA",,Interact across systems and software teams to drive the validation and sign off of all vehicle software features and functions.
506,Data/Backend Engineer,Vertical Mass,"Los Angeles, CA",,"This role is vital to designing and building back-end systems to support our clients’ data needs.
We are looking for a passionate engineer to build simple,…"
507,Photonics Layout Engineer,Rockley Photonics,"Pasadena, CA 91101 (South area)",,The Photonic Layout Engineer will be responsible for layout of silicon photonic components and systems supporting key communications architectures.
508,DevOps Manager,Internet Brands,"Los Angeles, CA",,"The ideal candidate will maximize uptime with minimum effort and will thrive in a dynamic environment.
As DevOps Manager you will lead the team responsible for…"
509,Sr. Software Engineer - Integrations,Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
510,DevOps Engineer,Zimetrics Technologies,"Northridge, CA",,"Overall experience 8-10 years with at least 4 years in hand on DevOps Role and at least 2 years on AWS.
Expertise on capacity planning, Deployment Architectures…"
511,Senior Software Engineer,Georg Fischer Signet LLC,"El Monte, CA 91731 (Park El Monte area)",,"Program in Rust and/or C/C++ using modern coding practices.
Embrace modern development practices: Mob Programming/Pair Programming, Clean Code, Test Driven…"
512,Electrical Engineer - Embedded Systems,"Phase Four, Inc.","El Segundo, CA 90245",,"As Phase Four is bringing its first products to customers and developing next generation capabilities, you will work with engineers across disciplines to…"
513,Satellite ADCS Engineer,Rocket Lab USA,"Long Beach, CA",,"As the Satellite ADCS Engineer, you'll be responsible for the design, implementation, testing, and operation of Attitude Determination and Control Systems (ADCS…"
514,"Senior Software Engineer - Riot Developer Experience, Operab...",Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"Create and operate tools and services that help accelerate all of Riot.
Lead the design and implementation of new software components."
515,Senior DevOps Engineer,iHerb,"Los Angeles, CA","$120,355 - $180,690 a year","You will also have a deep passion for automation and observability, with a keen understanding of how distributed systems play together."
516,Senior QA Automation Engineer,Sensei,"Santa Monica, CA",,"Build or adapt the necessary test infrastructure to track and run all automation coming from the developers and QA engineers.
10+ years of testing experience."
517,Senior Software Engineer - Accounting & Finance,Fair,"Santa Monica, CA",,"Your goal will be to automate data flows and achieve data parity between our homegrown billing system and NetSuite ERP.
Work with multiple teams and partners."
518,DevOps Engineer,Pacific Specialty Insurance Company,"Los Angeles, CA","$130,000 - $160,000 a year","Working knowledge on using and developing Perl, python, and Ruby scripts used to automate day-to-day administrative tasks."
519,Backend Engineer —— Java,ShipSaving,"Industry, CA 91748","$50,000 - $120,000 a year","The Back-End Developer will be responsible for designing and developing new features, as well as maintaining and upgrading existing tools."
520,Senior iOS Software Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
521,Senior Photonics Test and Automation Engineer,Rockley Photonics,"Pasadena, CA 91101 (South area)",,"The Senior Photonics Test & Automation Engineer will work closely with the engineering team to design, develop and implement photonics device automatic test…"
522,Senior Game Programmer,Heavy Iron Studios,"Manhattan Beach, CA",,"Bachelor’s Degree or higher in Computer Science, a related discipline or 4 years of equivalent relevant work experience.
Thorough understanding of 3D math."
523,Senior Android Software Engineer- Discover Team (LA),Route,"Los Angeles, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
524,Senior Game Services Engineer,A Subsidiary of Sony Corporation of America,"Los Angeles, CA",,"At times develop web-based tools for developers.
Lead a team of software developers from design to product completion."
525,Adaptive Optics Senior Software Engineer,"TMT International Observatory, LLC","Pasadena, CA",,"Strong technical knowledge and experience with one or more tools, including: Linux, C/C++, Cuda C, Scala/Java, scripting languages such as python, and browser…"
526,Senior Software Engineer,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
527,DevOps Engineer,Sensei,"Santa Monica, CA",,"We are looking for a DevOps Engineer with experience in Azure PaaS, building and automating CI/CD pipelines, managing and monitoring Cloud Infrastructure,…"
528,Lead Cloud Engineer,"WhiteFox Defense Technologies, Inc.","Los Angeles, CA",,"The candidate should have significant experience in engineering performant web-scale systems, understand the processes and procedures in managing the…"
529,Systems Engineer / DevOps Engineer,Foursquare,"Los Angeles, CA",,"Together, these products empower brands to measure foot traffic lift via multi-touch attribution; deliver proximity-based advertising; analyze and identify…"
530,Senior Manager Software Engineering,AuditBoard,"El Segundo, CA",,In this role you will be responsible for leading a team of Engineers and tackling challenges ranging from new feature development to building scalable systems.
531,Senior Android Software Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
532,Site Reliability Engineer,Tillster,"Los Angeles, CA",,"A Site Reliability Engineer (SRE) is responsible for the availability, performance, monitoring, release engineering, and incident response, among other things,…"
533,Senior Photonic Design Automation Engineer (United States),Rockley Photonics,"Pasadena, CA 91101 (South area)",,"We are working on a variety of transformative products in biosensing, datacomms, and automotive lidar.
The Senior Photonics Design Automation Engineer is…"
534,Senior Software Engineer - Production Release Engineering,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"You will also use your deep technical knowledge and passion to achieve that excellence.
You will report into the Sr. Manager, Software Engineering of the Flight…"
535,Software Engineer II (2+years JAVA/Linux/SQL),IDEMIA,"Anaheim, CA",,"The Software Engineer (II) is responsible for coding, unit testing and documenting industry leading and best in class quality biometric software products."
536,Senior iOS Mobile Engineer,DT Professional Services,"Woodland Hills, CA 91367",,"3+ years of experience as an iOS developer (with strong Swift experience).
Develop and support customer facing mobile applications on the iOS platform."
537,Build Engineer,Magnopus,"Los Angeles, CA",,"Working with software developers and QA to create stable builds for VR/AR experiences, internal tools, and backend services across multiple environments."
538,"Senior, DevOps Engineer","Zeco Systems, Inc. dba Greenlots","Los Angeles, CA 90021",,We are looking for an exceptional DevOps Engineer responsible for managing infrastructure through multiple product releases with a passion for reliability and…
539,"Software Reliability Engineer, Infrastructure","TuSimple, Inc.","Los Angeles, CA",,Software Reliability Engineering (SRE) is a discipline that incorporates aspects of software engineering and applies them to infrastructure and operations…
540,"Developer Solutions Engineer - Enterprise (Los Angeles, CA)",Okta,"Los Angeles, CA",,We believe in Okta's Solutions Engineers empathize with customers and quickly discern their true technical needs by asking detailed and clarifying questions and…
541,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
542,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
543,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
544,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
545,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
546,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
547,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
548,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
549,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
550,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
551,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
552,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
553,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
554,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
555,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
556,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
557,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
558,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
559,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
560,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
561,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
562,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
563,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
564,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
565,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
566,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
567,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
568,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
569,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
570,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
571,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
572,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
573,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
574,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
575,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
576,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
577,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
578,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
579,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
580,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
581,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
582,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
583,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
584,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
585,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
586,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
587,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
588,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
589,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
590,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
591,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
592,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
593,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
594,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
595,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
596,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
597,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
598,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
599,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
600,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
601,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
602,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
603,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
604,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
605,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
606,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
607,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
608,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
609,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
610,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
611,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
612,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
613,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
614,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
615,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
616,BI Analyst/Developer,Crown Media United States Llc,"Studio City, CA 91604",,The Business Intelligence Analyst is responsible for developing and implementing Business Intelligence solutions for the organization.
617,Software Engineer,Fashion Nova - Careers,"Vernon, CA",,Fashion Nova is on the hunt for a backend Software Engineer to help build out its next generation Order Management System.
618,SOFTWARE ENGINEER III,Network Medical Management Inc,"Alhambra, CA 91801",,"Design, develop, test, deploy, maintain, and enhance our software and applications.
Clearly and regularly communicate with management and technical support…"
619,Senior Software Engineer,OBMedia,"Los Angeles, CA","$105,000 - $145,000 a year","Apache Spark: 1 year (Preferred).
No: Not providing sponsorship for this job.
Only full-time employees eligible."
620,Middleware Developer,CEDENT,"Pasadena, CA",,"Bachelor's Degree in Computer Science or equivalent engineering discipline required.
Minimum 8 years of related experience and familiar with Connectivity…"
621,Analytics Engineer,Metropolis,"Los Angeles, CA (Downtown area)",,"Attractive compensation and generous benefits package (100% Medical, 50% Vision and 50% Dental).
Company 401(k) match up to 6% of salary."
622,Epic Software Developer,La Jolla Logic,"El Segundo, CA",,"LJL has a reputation for performance to the highest standard, specializing in high-end cybersecurity engineering solutions, to include Machine Learning…"
623,"Software Engineer, Analytics (LOCALS ONLY)",Thought Storm LLC,"Glendale, CA",,"Microstrategy, Strong Sql, Dashboarding, Reporting and more.*.
We are looking for a Senior Engineer to define and develop new data management, business…"
624,Machine Learning Engineer,FIGS,"Santa Monica, CA",,"FIGS is looking for an experienced Machine Learning Engineer to help drive our Data Strategy forward.
You will work hands on with a high performing Data Team…"
625,Engineering Intern (Fall / Winter),Second Order Effects,"El Segundo, CA",,Candidates must be highly motivated college students willing to intern with SOE during the Fall or Winter for three to six-month periods.
626,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
627,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
628,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
629,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
630,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
631,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
632,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
633,Job#20201102JG1 - Sr DevOps Ninja,3GC Group,"Los Angeles, CA 91403 (Sherman Oaks area)","$70,000 - $140,000 a year",Customer service oriented: the DevOps engineer cares and can drill down into a conversation with the developer or customer in order to solve problems.
634,Signal/Image Processing Scientist/Engineer,SciTec,"El Segundo, CA",,"Candidate must posses demonstrated proficiency, either through coursework or work experience, with python or MATLAB.
Candidate must be able to operate a PC."
635,Backend Engineer,Treehouse Games,"Los Angeles, CA",,"Work with the team to create and operate the backend services that enable features in and around our live service game.
Authorized to work in the United States."
636,DevOps Engineer,Serve Automation,"Hawthorne, CA",,"Design and implement infrastructure to host our vehicle-based and cloud-based applications.
Design and implement data storage solutions for engineering data,…"
637,Embedded Software Engineer,Apex Systems,"El Segundo, CA 90245",,"Responsible for full life-cycle development including requirements analysis, software architecture, designs, coding, unit test, integration and formal…"
638,Senior Software Engineer - Medical Billing,Heal,"Los Angeles, CA",,"Experience with spring boot 2 and popular python libraries is a plus.
You will work on a close-knit team, delivering moderate to high complex features from…"
639,Senior/Staff Site Reliability Engineer,Fair,"Santa Monica, CA",,"Reporting to the Platform Engineering Manager, you are customer-centric, and you have demonstrated expertise in multiple areas of software engineering but are…"
640,DevOps Software Engineer,La Jolla Logic,"Los Angeles, CA",,"The DevSecOps Engineer plans and executes system development and security strategies.
They develop best practices and infrastructure as code for continuous…"
641,Software Engineer (Platform),Serve Automation,"Hawthorne, CA",,"Design and implement our cloud-based platform to handle online orders.
Interface between our mobile kitchens and client payment systems."
642,R&D Software Engineer,"Millennium Space Systems, A Boeing Company","El Segundo, CA 90245",,"Millennium Space Systems, A Boeing Company delivers affordable, high-performance space systems for exacting customers.
Develop and document software interfaces."
643,Sr. Site Reliability Engineer (LA),Route,"Santa Monica, CA",,"Online shoppers can insure and visually track everything they order online in one centralized app.
E-commerce merchants from boutique brands to household names…"
644,Software Engineer (Firmware),Serve Automation,"Hawthorne, CA",,"Write and maintain C++ firmware to control sensors and actuators for our vehicle sub-systems.
Write and maintain Python to coordinate operations between sub…"
645,Sr. DevOps Security Engineer,TigerConnect,"Santa Monica, CA",,"Responsibilities will include hands-on security management, monitoring, discovery, and remediation of all security related issues while working cross…"
646,Senior Software Engineer - Core Infrastructure Team,Riot Games,"Los Angeles, CA 90064 (Sawtelle area)",,"As a part of CIT, you might be tasked with the creation and support of self-service APIs, simplifying and automating the deployment of fundamental services at…"
647,Cloud DevOps Engineer,CarParts.com,"Torrance, CA 90504",,"In this role, you will be responsible for building AWS, infrastructure and DevOps pipelines using open source tools of the major public cloud providers."
